"V2","V4"
"CEBPB","HIST1H2AA"
"CEBPB","VWDE"
"CEBPB","FDFT1"
"CEBPB","KCTD20"
"CEBPB","FGFR2"
"CEBPB","FGL1"
"CEBPB","XRN2"
"CEBPB","IKZF3"
"CEBPB","MTF2"
"CEBPB","KHDC4"
"CEBPB","SACM1L"
"CEBPB","RPIA"
"CEBPB","FOXF1"
"CEBPB","ALDOC"
"CEBPB","CNOT1"
"CEBPB","MYO16"
"CEBPB","FNBP1"
"CEBPB","FLG"
"CEBPB","CLASP2"
"CEBPB","PLXND1"
"CEBPB","SLC35D1"
"CEBPB","PSME4"
"CEBPB","EXOC6B"
"CEBPB","PPIP5K2"
"CEBPB","FMO5"
"CEBPB","KIAA0930"
"CEBPB","FN1"
"CEBPB","UBR4"
"CEBPB","FNBP4"
"CEBPB","COTL1"
"CEBPB","ABCA6"
"CEBPB","TNFRSF13B"
"CEBPB","RPL13A"
"CEBPB","ARHGAP45"
"CEBPB","PIK3R5"
"CEBPB","WBP2"
"CEBPB","ZIM2"
"CEBPB","SLC7A11"
"CEBPB","EID1"
"CEBPB","TMEM9"
"CEBPB","FUT8"
"CEBPB","FYB1"
"CEBPB","FZD2"
"CEBPB","GPATCH11"
"CEBPB","G6PC"
"CEBPB","MEIOB"
"CEBPB","ZNF718"
"CEBPB","POC1A"
"CEBPB","NOL11"
"CEBPB","TKFC"
"CEBPB","LRRC32"
"CEBPB","PCDHB5"
"CEBPB","FGF21"
"CEBPB","TIMM13"
"CEBPB","MYEOV"
"CEBPB","BSCL2"
"CEBPB","GJA4"
"CEBPB","AMPD3"
"CEBPB","PGAP2"
"CEBPB","GOT1"
"CEBPB","ANG"
"CEBPB","SLC39A5"
"CEBPB","C12orf40"
"CEBPB","HMSD"
